cluster,log_answer_count,log_total_ans_score,ans_score_std,answer_acceptance_rate,log_question_count,mean_question_score,log_question_views,mean_answers_per_q,answer_question_ratio,log_comment_count,mean_comment_score,comment_to_post_ratio,log_profile_views,log_total_votes_cast,tag_badge_score,weekly_activity_regularity,activity_span_days,tag_entropy,top_tag_concentration
0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0986122886681096,0.0,0.0,1.0,0.0,1.584962500716828,0.3333333333333333
1,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,5.181783550292085,0.6931471805599453,0.0,0.0,0.0,0.0,1.6094379124341003,0.0,0.0,1.0,0.0,1.9999999999942293,0.25
2,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,4.1588830833596715,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,1.3862943611198906,0.0,0.0,1.0,0.3130506321548965,0.0,0.5
3,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,5.37989735354046,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.0,0.0,1.0,0.0,1.9999999999942293,0.25
4,2.1972245773362196,2.3978952727983707,0.9317430177621366,0.16666666666666666,2.0794415416798357,0.6931471805599453,9.13550906135318,0.8109302162163288,0.49999999999999994,3.091042453358316,0.12062798778861472,0.7166776779701395,4.1588830833596715,3.7612001156935624,0.0,0.057332811682232476,7.83546317289108,4.262116566307114,0.16666666666666666
5,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,5.5134287461649825,0.6931471805599453,0.0,1.0986122886681096,0.0,1.0986122886681096,1.6094379124341003,0.0,0.0,1.0,0.222016963248415,1.584962500716828,0.3333333333333333
6,0.0,0.0,0.0,0.0,1.0986122886681096,0.3184537311185346,7.177782416195197,0.6931471805599453,0.0,1.0986122886681096,0.0,0.6931471805599453,2.302585092994046,0.0,0.0,0.08871758052604779,5.73905169114824,2.521640636334662,0.25
7,1.3862943611198906,1.3862943611198906,0.7676517525907619,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,2.302585092994046,0.6931471805599453,0.0,0.038302795406640035,6.5453905348597985,2.321928094880149,0.25
8,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.791759469228055,0.0,0.0,1.0,1.5325229268130416,1.9999999999942293,0.25
9,2.70805020110221,3.258096538021482,1.1841129478371384,0.1111111111111111,0.0,0.0,0.0,0.0,0.9285714285714286,2.5649493574615367,0.3036824137982221,0.6479220825550097,3.9512437185814275,3.6109179126442243,0.0,0.05255283714151829,7.59483856323132,3.5303587139940387,0.2222222222222222
10,1.791759469228055,1.6094379124341003,0.6913038557965654,0.3076923076923077,0.0,0.0,0.0,0.0,0.7999999999999999,0.6931471805599453,0.0,0.16705408466316615,2.639057329615259,1.3862943611198906,0.0,0.06028049565750647,6.20837827800144,2.807354922047505,0.25
